,EMD_NM,건물노후도점수,지상층수점수,지하층수점수,주용도점수,구조점수,비상용승강기점수,소방서거리점수,소방용수시설거리점수
106,상동,3.6284424379232507,1.0329571106094808,0.22392776523702032,2.8063205417607224,2.5896162528216706,4.972009029345372,1.5340857787810385,2.689390519187359
107,상리동,3.088888888888889,1.0155555555555555,0.10888888888888888,4.068888888888889,2.3533333333333335,4.997777777777777,2.0,2.831111111111111
108,상매동,2.08,1.072,0.128,6.208,2.12,5.0,1.296,4.232
109,상서동,4.416666666666667,1.3333333333333333,0.8333333333333334,4.666666666666667,1.0,5.0,1.0,1.5833333333333333
110,상인동,3.3586065573770494,1.2059426229508197,0.2530737704918033,2.789617486338798,1.9504781420765027,4.92827868852459,1.1246584699453552,2.912568306010929
111,서내동,3.75,1.0416666666666667,0.2916666666666667,3.8333333333333335,1.4583333333333333,5.0,1.0,1.9166666666666667
112,서문로1가,3.7674418604651163,1.069767441860465,0.37209302325581395,4.4186046511627906,1.2093023255813953,5.0,1.0,1.813953488372093
113,서문로2가,4.589041095890411,1.0547945205479452,0.1917808219178082,4.205479452054795,3.3698630136986303,5.0,1.0,2.0273972602739727
114,서변동,3.0086538461538463,1.1298076923076923,0.10865384615384616,3.148076923076923,1.2567307692307692,5.0,1.2240384615384616,3.4153846153846152
115,서성로1가,3.925925925925926,1.1111111111111112,0.16666666666666666,4.157407407407407,3.074074074074074,4.925925925925926,1.0,1.7592592592592593
116,서성로2가,4.2,1.1,0.1,4.7,3.4,5.0,1.0,1.8
117,서야동,4.1938775510204085,1.010204081632653,0.19387755102040816,4.244897959183674,2.806122448979592,5.0,1.0,2.2857142857142856
118,서호동,3.75591985428051,1.0510018214936248,0.1111111111111111,2.907103825136612,2.4845173041894353,4.9963570127504555,2.0,3.1730418943533696
119,성당동,4.074293228139382,1.076594345825115,0.17784352399737016,2.6587771203155817,2.9119000657462197,4.961867192636423,1.2015121630506247,2.786653517422748
120,성동,3.894308943089431,0.983739837398374,0.008130081300813009,2.7642276422764227,3.682926829268293,5.0,2.0,4.008130081300813
121,소보면,3.6066859265373505,0.9991745769706974,0.0033016921172100704,3.406108130416839,3.374742055303343,4.9995872884853485,4.888155179529509,4.6776723070573665
122,송정동,2.8265682656826567,0.996309963099631,0.05904059040590406,3.5276752767527677,2.7712177121771218,5.0,4.929889298892989,4.763837638376383
123,송현동,3.8312193126022915,1.0470540098199672,0.1859656301145663,2.577945990180033,2.676759410801964,4.987929623567921,1.1910801963993454,2.9599018003273323
124,수동,3.608695652173913,1.2391304347826086,0.3695652173913043,4.739130434782608,2.0,5.0,1.0,1.5869565217391304
125,수성동1가,3.8017241379310347,1.167624521072797,0.2413793103448276,2.8687739463601534,2.281609195402299,4.922413793103448,1.4137931034482758,2.5756704980842913
126,수성동2가,4.414141414141414,1.0348943985307621,0.15702479338842976,2.9862258953168044,2.803489439853076,4.986225895316805,1.0,2.046831955922865
127,수성동3가,4.108108108108108,1.162162162162162,0.3036565977742448,2.605723370429253,2.9141494435612083,4.915739268680445,1.0,2.480127186009539
128,수성동4가,3.7335526315789473,1.1820175438596492,0.21820175438596492,2.9791666666666665,2.543859649122807,4.9375,1.3289473684210527,2.5482456140350878
129,수창동,3.8577981651376145,1.334862385321101,0.21100917431192662,4.577981651376147,2.5642201834862384,4.830275229357798,1.0,2.44954128440367
130,숙천동,2.8,1.075,0.16,2.84,2.29,4.905,3.0,3.865
131,시장북로,4.462962962962963,1.0648148148148149,0.16666666666666666,4.5092592592592595,2.759259259259259,5.0,1.0,1.8981481481481481
132,시지동,2.9627329192546585,1.236024844720497,0.2375776397515528,3.1645962732919255,1.4192546583850931,4.916149068322981,1.3338509316770186,3.6040372670807455
133,신기동,3.787994891443167,1.13154533844189,0.20051085568326948,2.8659003831417627,2.194125159642401,4.998722860791826,2.0,2.7471264367816093
