Unnamed: 0,대지위치,지상층수,지하층수,높이(m),구조코드명,기타구조,주용도코드명,비상용승강기수,사용승인년도,위도,경도
89439,대구광역시 달성군 논공읍 남리 676-7번지,5,0,14.6,철근콘크리트구조,철근콘크리트구조,공동주택,0,2011,35.7257621910443,128.449910479772
89440,대구광역시 달성군 논공읍 남리 676-29번지,4,0,13.4,철근콘크리트구조,철근콘크리트구조,단독주택,0,2012,35.7256887238998,128.449747683547
89441,대구광역시 달성군 논공읍 남리 677번지,1,0,4.5,경량철골구조,경량철골구조,단독주택,0,2008,35.7258842710554,128.450144777725
89442,대구광역시 달성군 논공읍 남리 678번지,1,0,5.45,철근콘크리트구조,철근콘크리트구조,단독주택,0,2021,35.7258871681225,128.450345528758
89443,대구광역시 달성군 논공읍 남리 680번지,1,0,0.0,블록구조,목조,제1종근린생활시설,0,1955,35.7258406611422,128.450734699136
89444,대구광역시 달성군 논공읍 남리 680-1번지,1,0,0.0,일반목구조,목조,단독주택,0,1955,35.7257795152221,128.450686178612
89445,대구광역시 달성군 논공읍 남리 681번지,1,0,0.0,벽돌구조,세멘벽돌,단독주택,0,1983,35.7256327535023,128.450809837484
89446,대구광역시 달성군 논공읍 남리 682번지,2,0,0.0,경량철골구조,경량철골조,종교시설,0,1990,35.7257444024254,128.450915084837
89447,대구광역시 달성군 논공읍 남리 683번지,2,0,7.4,철근콘크리트구조,철근콘크리트조,단독주택,0,2001,35.7256996501377,128.451046561446
89448,대구광역시 달성군 논공읍 남리 684번지,2,0,8.4,철근콘크리트구조,철근콘크리트구조,단독주택,0,2009,35.7254440310684,128.450930635049
